bundle_id,count
com.apple.appstored,157
com.apple.findmy,1
com.optillel.authenticator,1
th.go.dlt.dltqrlicence,1
juanvision.com,1
com.apple.Magnifier,1
io.metamask.MetaMask,1
com.klook.klook,1
com.apple.shortcuts,1
com.apple.mobilenotes,1
com.bidv.smartbanking,1
org.whispersystems.signal,1
mobile.mexcglobal.www,1
com.apple.mobilemail,1
com.liguangming.Shadowrocket,1
ph.telegra.Telegraph,1
com.meituan.imeituan,1
com.kraken.superwallet.app,1
com.oliver.SpeechToText,1
jp.co.quadsystem.VoIP01Distribution,1
com.xingin.discover,1
com.apple.mobiletimer,1
com.ledger.live,1
com.go-jek.ios,1
com.figma.FigmaMirror,1
com.facebook.Messenger,1
com.coinmarketcap.CoinMarketCap,1
com.apple.weather,1
com.google.Authenticator,1
com.amazon.AmazonJP,1
