file,bucket,keyword
xp_amp_app_usage_dnu,apps,BIDV
xp_amp_app_usage_dnu,apps,Binance
xp_amp_app_usage_dnu,apps,Bybit
xp_amp_app_usage_dnu,apps,CEBBank
xp_amp_app_usage_dnu,apps,Facebook
xp_amp_app_usage_dnu,apps,Gmail
xp_amp_app_usage_dnu,apps,HSBC
xp_amp_app_usage_dnu,apps,TronLink
xp_amp_app_usage_dnu,apps,YouTube
xp_amp_app_usage_dnu,apps,com.tronlink.hdwallet
xp_amp_app_usage_dnu,orgs,VNG
xp_amp_app_usage_dnu,orgs,Viettel
JetsamEvent,MDM,installcoordinationd
JetsamEvent,iOS_proc,RTCR
JetsamEvent,iOS_proc,cloudd
JetsamEvent,iOS_proc,logd
JetsamEvent,iOS_proc,nsurlsessiond
JetsamEvent,iOS_proc,triald
